# package-sizes-windows.tsv: measured seconds on windows-latest, the hosted image
# both Windows legs run on — test-windows-pr on a pull request and
# test-hosted-merge's windows leg on a merge group. Three tab-separated columns:
#
#	import path	short	full
#
# `short` is `go test -short`, what the PR leg runs. `full` is `go test` with no
# -short, what the merge group runs. They are separate columns because they are
# separate measurements: the packages that dominate this table are exactly the
# ones whose heavy cases are gated behind testing.Short().
#
# A "-" is NOT MEASURED. A trailing "+" is CENSORED — the run hit its timeout, so
# the true size is AT LEAST that number and unknown above it. Both plans treat
# either one as "deal this package across every slot the group opened", because
# an unknown size must never be guessed downward. Guessing it downward is exactly
# what cost integration-4's merge group.
#
# THE LINUX TABLE CANNOT PREDICT THIS ONE, which is why this file exists instead
# of a multiplier over package-sizes.tsv. cmd/nova-bus is 10.0 s on an idle-ish
# hulk and at least 100 s here; cmd/nova-swarm is 51.0 s there and 37.0 s here.
# The difference is processes: the git-fixture packages spawn one per case and
# Windows pays the most per process, while nova-swarm's heavy cases skip under
# -short. The merge group deals its WINDOWS shards from this file; its linux and
# darwin legs keep reading package-sizes.tsv, which is their measurement.
#
# Measurements:
#   short: PR #1332 (integration-4), 2026-09-18, windows-latest,
#          `go test -short -count=1 -timeout 100s` — four packages sat ON the
#          100 s ceiling, hence the "+".
#   full:  the same PR's merge group, 2026-09-18. The windows leg's shard 0 of 3
#          for cmd/nova-bus was killed at the 100 s ceiling with
#          TestALanesReadmeIsNotANote, TestLaneStateFilesAreNotStrays and
#          TestTheCursorIsPushedLikeAReceipt still running. ONE THIRD of that
#          package exceeded 100 s, so the whole is far above it; 100.0+ is what
#          was actually observed and the "+" carries the rest.
#
# import path	short	full
github.com/mas-bandwidth/nova-tools/cmd/nova-bus	100.1+	100.0+
github.com/mas-bandwidth/nova-tools/cmd/nova-merge	100.0+	-
github.com/mas-bandwidth/nova-tools/cmd/nova-review	100.1+	-
github.com/mas-bandwidth/nova-tools/cmd/nova-wake	100.1+	-
github.com/mas-bandwidth/nova-tools/cmd/nova-swarm	37.0	-
github.com/mas-bandwidth/nova-tools/internal/ci	26.0	-
github.com/mas-bandwidth/nova-tools/cmd/nova-board	19.0	-
